motor,no_load_current_a,no_load_rpm,prop,voltage_v,throttle_a,thrust_g,power_w,efficiency_g_per_w
EX1103-6000,0.12,12080,1935 tri-blade,14.8,1,42.7,14.8,2.885
EX1103-6000,0.12,12080,1935 tri-blade,14.8,2,74.6,29.6,2.520
EX1103-6000,0.12,12080,1935 tri-blade,14.8,3,95.3,44.4,2.146
EX1103-6000,0.12,12080,1935 tri-blade,14.8,4,117.6,59.2,1.986
EX1103-6000,0.12,12080,1935 tri-blade,14.8,4.4,124.6,65.12,1.913
EX1103-6000,0.14,11580,65mm bi-blade,14.8,1,53.2,14.80,3.595
EX1103-6000,0.14,11580,65mm bi-blade,14.8,2,92.5,29.60,3.125
EX1103-6000,0.14,11580,65mm bi-blade,14.8,3,121.7,44.40,2.741
EX1103-6000,0.14,11580,65mm bi-blade,14.8,4,148.7,59.20,2.512
EX1103-6000,0.14,11580,65mm bi-blade,14.8,4.6,157.5,68.08,2.313
EX1103-8000,0.25,15720,1935 tri-blade,11.1,1,32.8,11.1,2.955
EX1103-8000,0.25,15720,1935 tri-blade,11.1,2,56.6,22.2,2.550
EX1103-8000,0.25,15720,1935 tri-blade,11.1,3,76.6,33.3,2.300
EX1103-8000,0.25,15720,1935 tri-blade,11.1,4,92.8,44.4,2.090
EX1103-8000,0.25,15720,1935 tri-blade,11.1,5,109.2,55.5,1.968
EX1103-8000,0.25,15720,1935 tri-blade,11.1,5.9,122.3,65.49,1.867
EX1103-8000,0.20,15650,65mm bi-blade,11.1,1,36.8,11.1,3.315
EX1103-8000,0.20,15650,65mm bi-blade,11.1,2,67.3,22.2,3.032
EX1103-8000,0.20,15650,65mm bi-blade,11.1,3,91.3,33.3,2.742
EX1103-8000,0.20,15650,65mm bi-blade,11.1,4,111.2,44.4,2.505
EX1103-8000,0.20,15650,65mm bi-blade,11.1,5,128.3,55.5,2.312
EX1103-8000,0.20,15650,65mm bi-blade,11.1,5.8,139.1,64.38,2.161
EX1103-12000,0.44,24750,65mm bi-blade,7.4,1,22.5,7.4,3.041
EX1103-12000,0.44,24750,65mm bi-blade,7.4,2,40,14.8,2.703
EX1103-12000,0.44,24750,65mm bi-blade,7.4,3,58.4,22.2,2.631
EX1103-12000,0.44,24750,65mm bi-blade,7.4,4,72.3,29.6,2.443
EX1103-12000,0.44,24750,65mm bi-blade,7.4,5,87.6,37,2.368
EX1103-12000,0.44,24750,65mm bi-blade,7.4,6,98.6,44.4,2.221
EX1103-12000,0.44,24750,65mm bi-blade,7.4,7,109.3,51.8,2.110
EX1103-12000,0.44,24750,65mm bi-blade,7.4,8,119.9,59.2,2.025
EX1103-12000,0.44,24750,65mm bi-blade,7.4,8.3,121.2,61.42,1.973
EX1103-12000,0.44,24750,1935 tri-blade,7.4,1,18.6,7.4,2.514
EX1103-12000,0.44,24750,1935 tri-blade,7.4,2,32.8,14.8,2.216
EX1103-12000,0.44,24750,1935 tri-blade,7.4,3,47.8,22.2,2.153
EX1103-12000,0.44,24750,1935 tri-blade,7.4,4,59.7,29.6,2.017
EX1103-12000,0.44,24750,1935 tri-blade,7.4,5,72.4,37,1.957
EX1103-12000,0.44,24750,1935 tri-blade,7.4,6,83.2,44.4,1.874
EX1103-12000,0.44,24750,1935 tri-blade,7.4,7,92.6,51.8,1.788
EX1103-12000,0.44,24750,1935 tri-blade,7.4,8,101.8,59.2,1.720
EX1103-12000,0.44,24750,1935 tri-blade,7.4,8.2,103.8,60.68,1.711
