name,vendor,stator_diameter_mm,stator_height_mm,kv_rpm_per_v,mass_g,resistance_ohm,i0_a,max_current_a,cells,source_url,notes
GTS-V3 1002-14000,RCInPower,10.0,2.0,14000,2.5,0.175,0.8,9,1-2S,https://rotorriot.com/products/gts-v3-1002-14000kv-motor,original repo calibration point; I0 at 5V
GTS-V3 1002-19000,RCInPower,10.0,2.0,19000,2.5,0.089,1.3,11.8,1S,,original repo calibration point; I0 at 5V; source via retailer listing
GTS-V3 1002-22000,RCInPower,10.0,2.0,22000,2.5,0.075,1.5,14,1S,https://www.racedayquads.com/products/rcinpower-gts-v3-1002-22000kv-motor-choose-color,original repo calibration point; I0 at 5V
GTS-V3 1203-6000,RCInPower,12.0,3.0,6000,4.5,0.320,,,2-3S,,original repo calibration point
GTS-V3 1203-8000,RCInPower,12.0,3.0,8000,4.5,0.167,0.8,9.6,2-3S,https://pyrodrone.com/products/rcinpower-gts-v3-1203-8000kv-plus-2-3-inch-cinewhoop-micro-motor-choose-color,original repo calibration point; I0 at 10V; Plus variant
GTS-V3 1203-11500,RCInPower,12.0,3.0,11500,4.5,0.100,,,2-3S,,original repo calibration point
GTS-V3 0802-22000,RCInPower,8.0,2.0,22000,1.97,0.117,0.2,5.8,1S,https://pyrodrone.com/products/rcinpower-gts-v3-0802-22000kv-brushless-fpv-drone-motor-choose-color,new; I0 at 5V; max current on 3S basis
M1103-8000,T-Motor,11.0,3.0,8000,4.64,0.163,0.48,18.4,2-4S,https://shop.tmotor.com/products/m1103,mass/I0/max-current from official T-Motor spec table (I0 at 4V, max current a 10s peak rating, max power 284W); R from an earlier, different listing (racedayquads) -- not verified against this datasheet's own (noisy, one row known bad) throttle-sweep table, see tmotor_m1103_throttle_sweep.csv
M1103-11000,T-Motor,11.0,3.0,11000,4.61,0.163,0.52,15.2,2-3S,https://shop.tmotor.com/products/m1103,mass/I0/max-current from official T-Motor spec table (I0 at 4V, max current a 10s peak rating, max power 188W); R shared with 8000kV listing (unverified) -- vendor markets 11000kV as 2-3S, not 1S; see tmotor_m1103_throttle_sweep.csv
EX1103-6000,Happymodel,11.0,3.0,6000,3.8,,0.12,,1-3S,https://www.happymodel.cn,new; I0 0.12A at 12080 RPM no-load; resistance not given; see throttle-sweep CSV for bench thrust data
EX1103-8000,Happymodel,11.0,3.0,8000,3.8,,0.25,,1-3S,https://www.happymodel.cn,new; I0 0.25A at 15720 RPM no-load; resistance not given; see throttle-sweep CSV for bench thrust data
EX1103-12000,Happymodel,11.0,3.0,12000,3.8,,0.44,,1-3S,https://www.happymodel.cn,new; I0 0.44A at 24750 RPM no-load; resistance not given; see throttle-sweep CSV for bench thrust data
1104-4300,generic/DarwinFPV-class,11.0,4.0,4300,5.5,0.470,0.5,5.2,2-3S,https://darwinfpv.com/products/darwin-1104-4300kv-brushless-motor,new; lower-confidence generic listing; I0 at 12V
F1204-5000,T-Motor,12.0,4.0,5000,6.1,0.240,0.7,6,2-3S,https://t-hobby.com,mass excl. cable (6.9g incl.); I0 at 10V; max current is a 60s peak rating (72W max power); confirmed twice now -- matches an earlier, independently-sourced listing almost exactly; see tmotor_f1204_throttle_sweep.csv for real bench thrust data across 4 props
GTS-1204-8000,RCInPower,12.0,4.0,8000,6.0,0.125,0.95,6,3-4S,https://pyrodrone.com/products/rcinpower-gts-1204-8000kv-motor-choose-color,new; I0 at 10V; max current on 3S basis (89W)
EX1202.5-6400,Happymodel,12.0,2.5,6400,4.4,,,,1S-2S,https://www.amazon.com/HAPPYMODEL-EX1202-5-6400KV-8000KV-Motor/dp/B08WRQD5BB,mass-only; original repo calibration point (1202.5 @ 4.5g) is this motor family; no R/I0 published
GTS-V2 1202.5-11500,RCInPower,12.0,2.5,11500,4.3,,,,1S,https://pyrodrone.com/products/rcinpower-gts-v2-1202-5-11500kv-motor-choose-color,mass-only; no R/I0 published
GR1102-10000,GEPRC,11.0,2.0,10000,3.2,,,,1-3S,https://geprc.com/product/gr1102-motors/,mass-only; no R/I0 published
Aeolus 1102-18000,HGLRC,11.0,2.0,18000,3.2,,,4.7,1S,https://pyrodrone.com/products/hglrc-aeolus-1102-18000kv-fpv-drone-motor,mass-only; no R/I0 published
SPEEDX2 1202.5-10000,GEPRC,12.0,2.5,10000,4.53,,,11.3,1-2S,https://geprc.com/product/geprc-speedx2-1202-5-10000kv/,no R/I0 published; max current/power from datasheet header (84W); see speedx2_1202_5_throttle_sweep.csv for bench thrust data
SPEEDX2 1202.5-15000,GEPRC,12.0,2.5,15000,4.53,,,17.3,1-2S,https://geprc.com/product/geprc-speedx2-1202-5-15000kv/,no R/I0 published; max current/power from datasheet header (128W); see speedx2_1202_5_throttle_sweep.csv for bench thrust data
GTS-V3 1303 Plus-11500,RCInPower,13.0,3.2,11500,5.6,0.105,1.2,30.1,1-2S,https://pyrodrone.com/products/rcinpower-gts-v3-1303-11500kv-plus-2-3-inch-cinewhoop-micro-motor-gold-orange,largest stator explicitly 1S-rated found in research; I0 at 5V; max current is a 5s burst rating, max continuous power 223W; still high-kV like the rest of the 1S lineup -- research found NO real 1S motor in the 1105-1405 class at low-to-mid kV (4000-8000) with a published resistance, since real 2-3in toothpick builds are almost always 3S-4S at that stator size
EX1202.5-11000,Happymodel,12.0,2.5,11000,4.4,,,,1S,https://fpvstorerc.com/products/happymodel-ex1202-5-1202-5-6400kv-8000kv-11000kv-2-3s-brushless-motor,mass-only; explicitly marketed by Happymodel as the 1S variant for Crux3/babytooth-class 3in toothpick builds (6400kV/8000kV variants of the same motor are the stock 2-3S Crux3 motor); no R/I0 published
M1104-7500,T-Motor,11.0,4.0,7500,5.6,,0.44,13.1,2-4S,https://shop.tmotor.com/products/m1104,mass includes lead cable; I0 at 4V; max current is a 10s peak rating (198W max power); R not stated directly on datasheet, see tmotor_m1104_throttle_sweep.csv for real bench thrust data
M0803II-22000,T-Motor,8.0,3.0,22000,2.5,0.122,1.5,7.1,1S,https://shop.tmotor.com,mass includes lead cable; I0 at 10V; peak current is a 1s rating (26.3W max power); see tmotor_m0803ii_throttle_sweep.csv for real bench thrust data across 5 props
M0803II-25000,T-Motor,8.0,3.0,25000,2.5,0.089,2.1,9.7,1S,https://shop.tmotor.com,mass includes lead cable; I0 at 10V; peak current is a 1s rating (35.9W max power); see tmotor_m0803ii_throttle_sweep.csv for real bench thrust data across 5 props
M0803II-27000,T-Motor,8.0,3.0,27000,2.5,0.078,2.3,9.8,1S,https://shop.tmotor.com,mass includes lead cable; I0 at 10V; peak current is a 1s rating (36.3W max power); see tmotor_m0803ii_throttle_sweep.csv for real bench thrust data across 2 props
M1106-6000,T-Motor,11.0,6.0,6000,7.2,,0.4,14.9,2-4S,https://shop.tmotor.com,mass includes lead cable; I0 at 4V; max current is a 10s peak rating (214W max power); R not stated on datasheet; see tmotor_m1106_throttle_sweep.csv for real bench thrust data across 3 props
F1204-6500,T-Motor,12.0,4.0,6500,6.1,0.140,0.9,7,3-3S,https://t-hobby.com,mass excl. cable (6.9g incl.); I0 at 10V; max current is a 60s peak rating (60W max power); vendor rates this kV as 3S only (not 2-3S like the 5000kV winding); see tmotor_f1204_throttle_sweep.csv for real bench thrust data across 4 props
F1203-7000,T-Motor,12.0,3.0,7000,4.45,0.198,0.64,10.85,2-3S,https://t-hobby.com,mass excl. cable (5.25g incl.); I0 at 10V; max current is a 60s peak rating (192W max power); R stated directly on datasheet; see tmotor_f1203_throttle_sweep.csv for real bench thrust data across 4 props at 2S/3S
F1303-5000,T-Motor,13.0,3.0,5000,6.1,0.280,0.32,7.45,2-3S,https://t-hobby.com,mass incl. cable; I0 at 4V; max current is a 60s peak rating (87W max power); R stated directly on datasheet; see tmotor_f1303_throttle_sweep.csv for real bench thrust data across 2 props
