motor,prop,voltage_v,throttle_pct,current_a,thrust_g,power_w,efficiency_g_per_w,temperature_c
SPEEDX2 1202.5-10000,GF65R,3.7,50,1.1,42,4.1,10.319,62
SPEEDX2 1202.5-10000,GF65R,3.7,100,5.6,110,20.7,5.309,62
SPEEDX2 1202.5-10000,GF65R,7.4,50,2.3,81,17.0,4.759,72
SPEEDX2 1202.5-10000,GF65R,7.4,100,9.2,211,68.1,3.099,72
SPEEDX2 1202.5-10000,HQ T65R,3.7,50,1.6,42,5.9,7.095,64
SPEEDX2 1202.5-10000,HQ T65R,3.7,100,5.6,112,20.7,5.405,64
SPEEDX2 1202.5-10000,HQ T65R,7.4,50,3.3,85,24.4,3.481,82
SPEEDX2 1202.5-10000,HQ T65R,7.4,100,11.3,215,83.6,2.571,82
SPEEDX2 1202.5-10000,HQT3x2R,3.7,50,2.2,58,8.1,7.125,71
SPEEDX2 1202.5-10000,HQT3x2R,3.7,100,8,128,29.6,4.324,71
SPEEDX2 1202.5-10000,GF3108,3.7,50,2.2,56,8.1,6.880,70
SPEEDX2 1202.5-10000,GF3108,3.7,100,7.8,125,28.9,4.331,70
SPEEDX2 1202.5-15000,GF65R,3.7,50,1.6,47,5.9,7.939,63
SPEEDX2 1202.5-15000,GF65R,3.7,100,9.6,141,35.5,3.970,63
SPEEDX2 1202.5-15000,GF65R,7.4,50,2.9,87,21.5,4.054,85
SPEEDX2 1202.5-15000,GF65R,7.4,100,17.3,261,128.0,2.039,85
SPEEDX2 1202.5-15000,HQ T65R,3.7,50,2.7,59,10.0,5.906,68
SPEEDX2 1202.5-15000,HQ T65R,3.7,100,12.8,158,47.4,3.336,68
SPEEDX2 1202.5-15000,HQT3x2R,3.7,50,2.9,83,10.7,7.735,66
SPEEDX2 1202.5-15000,HQT3x2R,3.7,100,10.5,175,38.9,4.505,66
SPEEDX2 1202.5-15000,GF3108,3.7,50,3.1,82,11.5,7.149,65
SPEEDX2 1202.5-15000,GF3108,3.7,100,10.3,176,38.1,4.618,65
