motor,kv,prop,voltage_v,throttle_pct,current_a,rpm,thrust_g,power_w,efficiency_g_per_w
F1203,7000,GF2023-3,8.44,50,2.23,21697,36.36,18.82,1.93
F1203,7000,GF2023-3,8.43,55,2.61,23640,43.87,22.00,1.99
F1203,7000,GF2023-3,8.43,60,3.00,25221,49.55,25.29,1.96
F1203,7000,GF2023-3,8.43,65,3.38,26856,57.27,28.49,2.01
F1203,7000,GF2023-3,8.42,70,3.81,28296,65.68,32.08,2.05
F1203,7000,GF2023-3,8.42,75,4.21,29501,75.09,35.45,2.12
F1203,7000,GF2023-3,8.42,80,4.63,30586,83.24,38.98,2.14
F1203,7000,GF2023-3,8.41,85,5.05,31828,88.78,42.47,2.09
F1203,7000,GF2023-3,8.41,90,5.51,33247,92.80,46.34,2.00
F1203,7000,GF2023-3,8.40,95,6.10,34442,99.08,51.24,1.93
F1203,7000,GF2023-3,8.39,100,6.79,35830,105.40,56.97,1.85
F1203,7000,GF2023-3,12.62,50,3.31,27208,58.35,41.77,1.40
F1203,7000,GF2023-3,12.62,55,3.87,29371,72.42,48.84,1.48
F1203,7000,GF2023-3,12.61,60,4.48,31323,82.03,56.49,1.45
F1203,7000,GF2023-3,12.60,65,5.08,33535,90.44,64.01,1.41
F1203,7000,GF2023-3,12.60,70,5.75,35546,100.60,72.45,1.39
F1203,7000,GF2023-3,12.59,75,6.35,37391,107.68,79.95,1.35
F1203,7000,GF2023-3,12.58,80,7.02,39387,120.27,88.31,1.36
F1203,7000,GF2023-3,12.57,85,7.79,41075,131.20,97.92,1.34
F1203,7000,GF2023-3,12.56,90,8.66,42827,141.37,108.77,1.30
F1203,7000,GF2023-3,12.55,95,9.57,44421,149.38,120.10,1.24
F1203,7000,GF2023-3,12.55,100,10.56,45398,157.81,132.53,1.19
F1203,7000,GF2020-4,8.40,50,2.39,20298,43.02,20.08,2.14
F1203,7000,GF2020-4,8.40,55,2.78,21861,49.93,23.35,2.14
F1203,7000,GF2020-4,8.39,60,3.19,23605,57.79,26.76,2.16
F1203,7000,GF2020-4,8.39,65,3.63,24973,66.66,30.46,2.19
F1203,7000,GF2020-4,8.39,70,4.03,26319,72.86,33.81,2.15
F1203,7000,GF2020-4,8.38,75,4.43,27533,79.89,37.12,2.15
F1203,7000,GF2020-4,8.38,80,4.84,28588,86.96,40.56,2.14
F1203,7000,GF2020-4,8.37,85,5.30,29890,93.32,44.36,2.10
F1203,7000,GF2020-4,8.37,90,5.83,31204,100.80,48.80,2.07
F1203,7000,GF2020-4,8.36,95,6.44,32341,109.74,53.84,2.04
F1203,7000,GF2020-4,8.35,100,7.16,33777,118.08,59.79,1.98
F1203,7000,GF2020-4,12.57,50,3.36,25238,67.86,42.24,1.61
F1203,7000,GF2020-4,12.57,55,3.94,27125,78.57,49.53,1.59
F1203,7000,GF2020-4,12.57,60,4.54,29034,87.95,57.07,1.54
F1203,7000,GF2020-4,12.57,65,5.18,30965,101.04,65.11,1.55
F1203,7000,GF2020-4,12.56,70,5.81,33001,113.09,72.97,1.55
F1203,7000,GF2020-4,12.56,75,6.48,34954,126.72,81.39,1.56
F1203,7000,GF2020-4,12.55,80,7.21,36751,140.76,90.49,1.56
F1203,7000,GF2020-4,12.53,85,8.05,38499,155.92,100.87,1.55
F1203,7000,GF2020-4,12.53,90,8.92,40269,168.19,111.77,1.50
F1203,7000,GF2020-4,12.51,95,9.84,41812,181.88,123.10,1.48
F1203,7000,GF2020-4,12.51,100,10.85,43123,192.57,135.73,1.42
F1203,7000,GFD63-3,8.40,50,3.37,15749,62.55,28.31,2.21
F1203,7000,GFD63-3,8.40,55,3.92,16650,70.32,32.93,2.14
F1203,7000,GFD63-3,8.40,60,4.51,17527,77.67,37.88,2.05
F1203,7000,GFD63-3,8.39,65,5.12,18285,86.25,42.96,2.01
F1203,7000,GFD63-3,8.38,70,5.82,19155,94.42,48.77,1.94
F1203,7000,GFD63-3,8.37,75,6.46,19924,103.12,54.07,1.91
F1203,7000,GFD63-3,8.37,80,7.09,20735,109.25,59.34,1.84
F1203,7000,GFD63-3,8.35,85,7.79,21294,116.10,65.05,1.78
F1203,7000,GFD63-3,8.34,90,8.56,22051,122.48,71.39,1.72
F1203,7000,GFD63-3,8.34,95,9.28,22598,130.79,77.40,1.69
F1203,7000,GFD63-3,8.38,100,10.13,23244,138.97,84.89,1.64
F1203,7000,G3018-2,8.40,50,2.65,18916,65.51,22.26,2.94
F1203,7000,G3018-2,8.40,55,3.13,20378,75.25,26.29,2.86
F1203,7000,G3018-2,8.40,60,3.64,21574,86.78,30.58,2.84
F1203,7000,G3018-2,8.39,65,4.11,22835,97.67,34.48,2.83
F1203,7000,G3018-2,8.39,70,4.53,23931,106.02,38.01,2.79
F1203,7000,G3018-2,8.39,75,4.99,24914,115.10,41.87,2.75
F1203,7000,G3018-2,8.38,80,5.53,25789,126.63,46.34,2.73
F1203,7000,G3018-2,8.37,85,6.07,26814,135.60,50.81,2.67
F1203,7000,G3018-2,8.37,90,6.72,27776,145.85,56.25,2.59
F1203,7000,G3018-2,8.36,95,7.41,28657,154.59,61.95,2.50
F1203,7000,G3018-2,8.34,100,8.27,29447,165.51,68.97,2.40
