motor,kv,prop,voltage_v,throttle_pct,current_a,rpm,thrust_g,power_w,efficiency_g_per_w,ambient_temp_c
F1404,2900,GF3028-3,16.79,50,1.49,18626,101.14,25.02,4.04,49.5
F1404,2900,GF3028-3,16.78,55,1.81,20037,116.37,30.37,3.83,49.5
F1404,2900,GF3028-3,16.78,60,2.16,21386,133.92,36.24,3.69,49.5
F1404,2900,GF3028-3,16.78,65,2.55,22764,152.76,42.79,3.57,49.5
F1404,2900,GF3028-3,16.78,70,3.00,24257,170.61,50.34,3.39,49.5
F1404,2900,GF3028-3,16.77,75,3.45,25447,188.96,57.86,3.27,49.5
F1404,2900,GF3028-3,16.76,80,3.93,26608,209.26,65.87,3.18,49.5
F1404,2900,GF3028-3,16.76,85,4.49,27892,230.60,75.25,3.06,49.5
F1404,2900,GF3028-3,16.75,90,5.10,29113,253.06,85.43,2.96,49.5
F1404,2900,GF3028-3,16.74,95,5.78,30312,276.26,96.76,2.86,49.5
F1404,2900,GF3028-3,16.73,100,6.38,31327,294.98,106.74,2.76,49.5
F1404,2900,GF3028-3,21.05,50,2.01,22275,153.69,42.31,3.63,60
F1404,2900,GF3028-3,21.04,55,2.45,24011,180.08,51.55,3.49,60
F1404,2900,GF3028-3,21.04,60,3.01,25597,207.63,63.33,3.28,60
F1404,2900,GF3028-3,21.03,65,3.47,27086,226.24,72.97,3.10,60
F1404,2900,GF3028-3,21.02,70,4.06,28470,250.98,85.34,2.94,60
F1404,2900,GF3028-3,21.02,75,4.67,29959,276.05,98.16,2.81,60
F1404,2900,GF3028-3,21.01,80,5.34,31475,305.71,112.19,2.72,60
F1404,2900,GF3028-3,21.00,85,6.08,32893,334.99,127.68,2.62,60
F1404,2900,GF3028-3,20.99,90,6.89,34244,363.73,144.62,2.52,60
F1404,2900,GF3028-3,20.98,95,7.72,35483,386.68,161.97,2.39,60
F1404,2900,GF3028-3,20.97,100,8.59,36383,413.56,180.13,2.30,60
F1404,2900,GF3028-3,25.20,50,2.51,25035,183.71,63.25,2.90,68
F1404,2900,GF3028-3,25.19,55,3.09,26682,210.96,77.84,2.71,68
F1404,2900,GF3028-3,25.18,60,3.70,28369,239.65,93.17,2.57,68
F1404,2900,GF3028-3,25.17,65,4.37,30036,268.22,109.99,2.44,68
F1404,2900,GF3028-3,25.17,70,5.05,31788,301.44,127.11,2.37,68
F1404,2900,GF3028-3,25.16,75,5.81,33425,333.89,146.18,2.28,68
F1404,2900,GF3028-3,25.15,80,6.57,35044,368.79,165.24,2.23,68
F1404,2900,GF3028-3,25.14,85,7.60,36664,406.59,191.06,2.13,68
F1404,2900,GF3028-3,25.13,90,8.59,37964,436.56,215.87,2.02,68
F1404,2900,GF3028-3,25.12,95,9.57,39075,462.43,240.40,1.92,68
F1404,2900,GF3028-3,25.10,100,10.44,39783,480.22,262.04,1.83,68
