motor,kv,prop,voltage_v,throttle_pct,current_a,rpm,thrust_g,power_w,efficiency_g_per_w
M0803II,22000,M12199-3,3.7,10,0.3,8000,0.5,1.1,0.45
M0803II,22000,M12199-3,3.7,20,0.6,17850,3.2,2.2,1.48
M0803II,22000,M12199-3,3.7,30,0.9,23750,5.9,3.3,1.75
M0803II,22000,M12199-3,3.7,40,1.3,29583,9.3,4.6,1.99
M0803II,22000,M12199-3,3.7,50,1.6,34366,12.4,6.0,2.06
M0803II,22000,M12199-3,3.7,60,2.1,39066,15.5,7.9,1.96
M0803II,22000,M12199-3,3.7,70,2.7,43483,19.2,10.1,1.90
M0803II,22000,M12199-3,3.7,80,3.4,48550,23.9,12.6,1.90
M0803II,22000,M12199-3,3.7,90,4.4,53483,29.4,16.4,1.79
M0803II,22000,M12199-3,3.7,100,5.1,57466,33.0,18.9,1.74
M0803II,22000,GF1610-2,3.7,10,0.3,8650,1.3,1.3,1.05
M0803II,22000,GF1610-2,3.7,20,0.6,15833,4.7,2.2,2.12
M0803II,22000,GF1610-2,3.7,30,0.9,20583,8.5,3.5,2.43
M0803II,22000,GF1610-2,3.7,40,1.4,25066,12.7,5.1,2.50
M0803II,22000,GF1610-2,3.7,50,1.9,29416,17.6,7.2,2.44
M0803II,22000,GF1610-2,3.7,60,2.6,33550,23.0,9.7,2.37
M0803II,22000,GF1610-2,3.7,70,3.4,37166,28.1,12.6,2.23
M0803II,22000,GF1610-2,3.7,80,4.3,40000,33.7,15.9,2.12
M0803II,22000,GF1610-2,3.7,90,5.3,43866,39.4,19.8,1.99
M0803II,22000,GF1610-2,3.7,100,6.4,46950,44.8,23.5,1.90
M0803II,22000,GF35mm-3,3.7,10,0.3,9050,0.1,1.3,0.08
M0803II,22000,GF35mm-3,3.7,20,0.5,16716,0.6,1.9,0.32
M0803II,22000,GF35mm-3,3.7,30,0.9,22933,5.2,3.4,1.56
M0803II,22000,GF35mm-3,3.7,40,1.3,27933,8.4,4.7,1.78
M0803II,22000,GF35mm-3,3.7,50,1.7,31850,12.4,6.4,1.95
M0803II,22000,GF35mm-3,3.7,60,2.3,35966,16.6,8.6,1.93
M0803II,22000,GF35mm-3,3.7,70,3.0,40316,20.9,10.9,1.91
M0803II,22000,GF35mm-3,3.7,80,3.7,43866,24.9,13.8,1.80
M0803II,22000,GF35mm-3,3.7,90,4.6,47616,29.8,17.1,1.74
M0803II,22000,GF35mm-3,3.7,100,5.5,50766,34.3,20.4,1.68
M0803II,22000,GF1608-3,3.7,10,0.3,8033,0.9,1.3,0.72
M0803II,22000,GF1608-3,3.7,20,0.6,13816,3.8,2.3,1.64
M0803II,22000,GF1608-3,3.7,30,1.0,18583,7.2,3.6,1.97
M0803II,22000,GF1608-3,3.7,40,1.5,22266,11.2,5.5,2.03
M0803II,22000,GF1608-3,3.7,50,2.1,26666,15.0,7.7,1.95
M0803II,22000,GF1608-3,3.7,60,2.9,29666,19.7,10.6,1.86
M0803II,22000,GF1608-3,3.7,70,3.7,32366,24.8,13.7,1.80
M0803II,22000,GF1608-3,3.7,80,4.7,34850,28.7,17.2,1.66
M0803II,22000,GF1608-3,3.7,90,5.8,37600,34.5,21.4,1.61
M0803II,22000,GF1608-3,3.7,100,6.8,39533,38.7,25.1,1.54
M0803II,22000,GF1609-4,3.7,10,0.3,7833,1.7,1.3,1.31
M0803II,22000,GF1609-4,3.7,20,0.6,13433,4.9,2.3,2.12
