motor,kv,prop,voltage_v,throttle_pct,current_a,rpm,thrust_g,power_w,efficiency_g_per_w
M1104,7500,GF1636-4(?),16.8,20,1.2,33572,34.3,19.4,1.77
M1104,7500,GF1636-4,16.8,40,2.8,50831,79.6,47.0,1.70
M1104,7500,GF1636-4,16.8,60,4.4,62932,118.9,73.5,1.62
M1104,7500,GF1636-4,16.8,80,6.7,74857,170.6,111.9,1.53
M1104,7500,GF1636-4,16.7,100,11.8,84940,251.4,197.7,1.27
M1104,7500,GF2020-4,12.6,20,0.9,18129,27.3,11.8,2.32
M1104,7500,GF2020-4,12.6,40,2.5,27280,62.5,30.9,2.03
M1104,7500,GF2020-4,12.6,60,4.3,34670,101.4,54.6,1.86
M1104,7500,GF2020-4,12.5,80,8.1,45317,171.7,101.2,1.70
M1104,7500,GF2020-4,12.5,100,13.1,54613,240.0,163.0,1.47
M1104,7500,GF3028-3,8.4,20,0.7,9070,24.4,5.7,4.26
M1104,7500,GF3028-3,8.4,40,2.2,14346,63.5,18.4,3.44
M1104,7500,GF3028-3,8.4,60,4.6,18862,111.4,38.3,2.91
M1104,7500,GF3028-3,8.3,80,8.2,23402,175.5,68.1,2.58
M1104,7500,GF3028-3,8.4,100,12.7,26811,231.4,106.3,2.18
