loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], baroAlt, gyroADC[0], gyroADC[1], gyroADC[2], gyroUnfilt[0], gyroUnfilt[1], gyroUnfilt[2], accSmooth[0], accSmooth[1], accSmooth[2], imuQuaternion[0], imuQuaternion[1], imuQuaternion[2], motor[0], motor[1], motor[2], motor[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 8126750,   4, -21,   4,   1,  -2,  -1,   5, -19,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 657,   0,  -2,   9,  -2,   2,   7,   6,   0,   0, -382,  -4,  -6,  -4, 1616, 1703, 1642, 1717, 0, 0, IDLE, 0, 0
  1, 8126875,   3, -20,   3,   1,  -2,  -1,   5, -24,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 657,   0,  -1,   9,  -1,   3,   0,   7,   0,   0, -382,  -4,  -6,  -4, 1613, 1708, 1636, 1719, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  2, 8127000,   2, -18,   3,   1,  -2,  -1,   4, -27,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 657,   0,  -1,   8,   0,   3,  -5,   6,   0,   0, -382,  -4,  -6,  -3, 1616, 1709, 1633, 1717, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  3, 8127125,   0, -13,   3,   1,  -2,  -1,   2, -26,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 656,   0,   0,   6,   1,   4,  -8,   4,   0,   0, -382,  -4,  -6,  -3, 1623, 1707, 1633, 1710, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  4, 8127250,  -1,  -9,   2,   1,  -2,  -1,   0, -24,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 656,   0,   1,   4,   2,   3, -10,   2,   0,   0, -382,  -4,  -6,  -3, 1633, 1703, 1637, 1700, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  5, 8127375,  -2,  -4,   2,   1,  -2,  -1,  -1, -19,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 656,   0,   1,   2,   2,   3, -12,   1,   0,   0, -382,  -4,  -6,  -3, 1646, 1696, 1643, 1688, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  6, 8127500,  -3,   2,   2,   1,  -2,  -1,  -3, -13,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 655,   0,   2,  -1,   2,   3, -14,   0,   0,   0, -360,  -4,  -6,  -3, 1660, 1687, 1650, 1674, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  7, 8127625,  -4,   7,   1,   1,  -2,  -1,  -5,  -5,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 655,   0,   2,  -3,   2,   4, -16,  -1,   0,   0, -360,  -4,  -6,  -3, 1675, 1676, 1659, 1659, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  8, 8127750,  -5,  12,   1,   1,  -2,  -1,  -7,   3,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 655,   0,   2,  -5,   1,   3, -17,  -3,   0,   0, -360,  -4,  -6,  -3, 1690, 1665, 1670, 1643, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  9, 8127875,  -5,  17,   1,   1,  -2,  -1,  -9,  12,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 655,   0,   2,  -7,   0,   2, -17,  -7,   0,   0, -360,  -4,  -6,  -3, 1705, 1653, 1681, 1628, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
 10, 8128000,  -5,  20,   1,   1,  -2,  -1, -10,  21,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 654,   0,   2,  -9,  -1,   0, -13, -10,   0,   0, -360,  -4,  -6,  -3, 1717, 1642, 1691, 1615, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
