frame,time,rc0,rc1,rc2,rc4,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,vel_x,vel_y,vel_z,angvel_x,angvel_y,angvel_z,motorOut_1,motorOut_2,motorOut_3,motorOut_4
8100,0,0,0,0.3,0,2.4233e-16,1.99998,-4.31307e-16,-2.27505e-08,-2.84076e-08,-1.26282e-08,1,2.4233e-13,-0.0228593,-4.31307e-13,-5.29732e-05,-5.28272e-05,-2.96445e-05,-0.93,-0.93,-0.93,-0.93
8101,0,0,0,0.3,0,1.01056e-15,1.99994,-1.80365e-15,-5.38033e-08,-2.54465e-08,-3.02793e-08,1,7.6823e-13,-0.0326561,-1.37234e-12,-6.90433e-05,6.29069e-05,-3.96633e-05,0.452,0.454,0.452,0.454
8102,0,0,0,0.3,0,2.81877e-15,1.9999,-5.01132e-15,-9.26472e-08,3.40056e-08,-5.28729e-08,1,1.80821e-12,-0.0424529,-3.20768e-12,-8.43491e-05,0.000154877,-4.94644e-05,0.788,0.792,0.788,0.792
8103,0,0,0,0.3,0,6.67711e-15,1.99985,-1.17878e-14,-1.38959e-07,-4.60838e-08,-8.03071e-08,1,3.85834e-12,-0.0522473,-6.77647e-12,-9.86219e-05,-0.000811578,-5.891e-05,0.77,0.774,0.768,0.774
8104,0,0,0,0.3,0,1.99419e-14,1.99979,-3.47126e-14,-1.88591e-07,-1.55578e-06,-1.1061e-07,1,1.32648e-11,-0.0620087,-2.29249e-11,-9.27783e-05,-0.00519843,-5.82307e-05,0.728,0.73,0.728,0.73
8105,0,0,0,0.3,0,7.45405e-14,1.99972,-1.27217e-13,-2.10356e-07,-5.91644e-06,-1.26812e-07,1,5.45986e-11,-0.0716492,-9.25042e-11,2.02412e-05,-0.0116032,2.28945e-06,0.692,0.688,0.69,0.688
8106,0,0,0,0.3,0,2.23322e-13,1.99964,-3.70917e-13,-1.11142e-07,-1.36325e-05,-7.51064e-08,1,1.48782e-10,-0.0810324,-2.437e-10,0.000384803,-0.0183926,0.000210383,0.652,0.652,0.654,0.654
8107,0,0,0,0.3,0,3.53417e-13,1.99955,-5.43095e-13,2.76429e-07,-2.46344e-05,1.43588e-07,1,1.30095e-10,-0.0900104,-1.72178e-10,0.00114622,-0.0247029,0.000654085,0.612,0.624,0.614,0.632
8108,0,0,0,0.3,0,-4.98442e-13,1.99945,1.06631e-12,1.18615e-06,-3.85457e-05,6.67205e-07,1,-8.51859e-10,-0.0984525,1.60941e-09,0.00242546,-0.030094,0.00140005,0.578,0.6,0.578,0.606
8109,0,0,0,0.3,0,-5.68671e-12,1.99934,1.03095e-11,2.89711e-06,-5.48284e-05,1.65408e-06,1,-5.18827e-09,-0.106256,9.24321e-09,0.00427883,-0.0342921,0.00246543,0.546,0.58,0.54,0.588
8110,0,0,0,0.3,0,-2.35528e-11,1.99923,4.1701e-11,5.67818e-06,-7.28103e-05,3.25524e-06,1,-1.78661e-08,-0.11335,3.13915e-08,0.00661639,-0.0370386,0.00381186,0.526,0.55,0.514,0.562
8111,0,0,0,0.3,0,-7.09748e-11,1.99911,1.24531e-10,9.70919e-06,-9.17321e-05,5.59451e-06,1,-4.7422e-08,-0.119687,8.28302e-08,0.00919875,-0.0382357,0.00538388,0.554,0.49,0.524,0.494
8112,0,0,0,0.3,0,-1.77603e-10,1.99898,3.09488e-10,1.50159e-05,-0.000110769,8.77535e-06,1,-1.06628e-07,-0.125244,1.84957e-07,0.0116658,-0.0376682,0.00714809,0.564,0.438,0.536,0.444
8113,0,0,0,0.3,0,-3.90503e-10,1.99885,6.74053e-10,2.14487e-05,-0.000128922,1.28849e-05,1,-2.129e-07,-0.130016,3.64564e-07,0.0137528,-0.034895,0.00908143,0.468,0.454,0.488,0.494
8114,0,0,0,0.3,0,-7.791e-10,1.99872,1.32602e-09,2.89211e-05,-0.000145078,1.80272e-05,1,-3.88597e-07,-0.134009,6.51963e-07,0.0159657,-0.0300548,0.0112686,0.368,0.512,0.398,0.558
8115,0,0,0,0.3,0,-1.4408e-09,1.99858,2.4088e-09,3.7801e-05,-0.000158484,2.43495e-05,1,-6.61697e-07,-0.137239,1.08279e-06,0.0193894,-0.0242817,0.0137454,0.416,0.474,0.398,0.486
8116,0,0,0,0.3,0,-2.50675e-09,1.99844,4.11341e-09,4.87628e-05,-0.000169136,3.18983e-05,1,-1.06596e-06,-0.139731,1.7046e-06,0.0239252,-0.019112,0.0160808,0.514,0.362,0.476,0.362
8117,0,0,0,0.3,0,-4.14453e-09,1.9983,6.69116e-09,6.17965e-05,-0.000177351,4.04247e-05,1,-1.63777e-06,-0.141517,2.57775e-06,0.0274083,-0.0142554,0.0176951,0.406,0.39,0.436,0.434
8118,0,0,0,0.3,0,-6.5554e-09,1.99816,1.04518e-08,7.59352e-05,-0.000182794,4.95665e-05,1,-2.41087e-06,-0.142631,3.76061e-06,0.0287123,-0.00800021,0.0186984,0.288,0.482,0.322,0.526
8119,0,0,0,0.3,0,-9.9704e-09,1.99801,1.57496e-08,9.05451e-05,-0.000184761,5.91487e-05,1,-3.415e-06,-0.143107,5.29784e-06,0.0297408,-0.000847085,0.0195092,0.424,0.386,0.386,0.378
8120,0,0,0,0.3,0,-1.46474e-08,1.99787,2.29795e-08,0.000105862,-0.00018351,6.90083e-05,1,-4.67699e-06,-0.142982,7.2299e-06,0.0312287,0.00484651,0.0197472,0.436,0.318,0.444,0.34
8121,0,0,0,0.3,0,-2.08639e-08,1.99773,3.25765e-08,0.000121429,-0.000179667,7.86724e-05,1,-6.21652e-06,-0.142296,9.59699e-06,0.030605,0.0100211,0.0188624,0.254,0.442,0.308,0.496
8122,0,0,0,0.3,0,-2.89042e-08,1.99759,4.49941e-08,0.000136007,-0.000172921,8.76884e-05,1,-8.04029e-06,-0.141083,1.24176e-05,0.0279493,0.0162724,0.0173604,0.37,0.382,0.344,0.374
8123,0,0,0,0.3,0,-3.90486e-08,1.99745,6.06799e-08,0.000149297,-0.000163225,9.58483e-05,1,-1.01444e-05,-0.139381,1.56858e-05,0.0255059,0.0215024,0.0153992,0.42,0.292,0.426,0.304
8124,0,0,0,0.3,0,-5.15633e-08,1.99731,8.00665e-08,0.000161019,-0.000151383,0.000102716,1,-1.25146e-05,-0.137223,1.93865e-05,0.0213725,0.0253725,0.0122707,0.232,0.424,0.288,0.468
8125,0,0,0,0.3,0,-6.66826e-08,1.99718,1.03546e-07,0.00016991,-0.000137455,0.000107757,1,-1.51193e-05,-0.134643,2.34796e-05,0.0148549,0.0298636,0.00834348,0.382,0.344,0.346,0.316
8126,0,0,0,0.3,0,-8.45946e-08,1.99704,1.31438e-07,0.000175524,-0.000121451,0.000110723,1,-1.7912e-05,-0.131673,2.78916e-05,0.00839491,0.0333504,0.0039469,0.38,0.292,0.398,0.298
8127,0,0,0,0.3,0,-1.05428e-07,1.99692,1.63974e-07,0.000177562,-0.000104185,0.000111193,1,-2.08333e-05,-0.128345,3.25358e-05,0.00028543,0.0354676,-0.00154219,0.23,0.418,0.264,0.432
8128,0,0,0,0.3,0,-1.29234e-07,1.99679,2.01272e-07,0.00017494,-8.56906e-05,0.00010874,1,-2.38066e-05,-0.124685,3.72986e-05,-0.00953688,0.0381765,-0.00750728,0.432,0.282,0.382,0.23
8129,0,0,0,0.3,0,-1.55978e-07,1.99667,2.43311e-07,0.000167578,-6.61446e-05,0.000103282,1,-2.67435e-05,-0.12072,4.2039e-05,-0.0187718,0.0394907,-0.0136415,0.316,0.322,0.348,0.324
8130,0,0,0,0.3,0,-1.85525e-07,1.99655,2.89921e-07,0.000155271,-4.62738e-05,9.45773e-05,1,-2.95471e-05,-0.116476,4.66096e-05,-0.0294582,0.04006,-0.0203766,0.286,0.384,0.274,0.354
8131,0,0,0,0.3,0,-2.17635e-07,1.99644,3.40762e-07,0.000137416,-2.59191e-05,8.25353e-05,1,-3.21104e-05,-0.111975,5.08417e-05,-0.0403365,0.0410989,-0.0268777,0.452,0.24,0.408,0.182
8132,0,0,0,0.3,0,-2.5196e-07,1.99634,3.95321e-07,0.000114497,-5.45e-06,6.73328e-05,1,-3.43248e-05,-0.107239,5.45582e-05,-0.0501784,0.0406416,-0.0331574,0.244,0.37,0.284,0.372
8133,0,0,0,0.3,0,-2.88043e-07,1.99623,4.52908e-07,8.64133e-05,1.47972e-05,4.90166e-05,1,-3.60825e-05,-0.102289,5.75874e-05,-0.0608405,0.0405781,-0.0392104,0.386,0.308,0.328,0.234
8134,0,0,0,0.3,0,-3.25321e-07,1.99614,5.12657e-07,5.33584e-05,3.51003e-05,2.796e-05,1,-3.72785e-05,-0.0971417,5.97494e-05,-0.0698589,0.0403727,-0.0442316,0.376,0.266,0.374,0.23
8135,0,0,0,0.3,0,-3.63141e-07,1.99604,5.73538e-07,1.61537e-05,5.48817e-05,4.5616e-06,1,-3.78198e-05,-0.0918149,6.0881e-05,-0.0780441,0.0389597,-0.0487185,0.262,0.376,0.258,0.34
8136,0,0,0,0.3,0,-4.00764e-07,1.99596,6.34369e-07,-2.51202e-05,7.41763e-05,-2.08379e-05,1,-3.76228e-05,-0.0863235,6.0831e-05,-0.0857127,0.0383496,-0.0521862,0.458,0.224,0.4,0.146
8137,0,0,0,0.3,0,-4.37383e-07,1.99588,6.9383e-07,-6.94785e-05,9.2966e-05,-4.75908e-05,1,-3.66193e-05,-0.0806825,5.94601e-05,-0.0908272,0.0367796,-0.0544016,0.264,0.338,0.294,0.326
8138,0,0,0,0.3,0,-4.72143e-07,1.9958,7.50491e-07,-0.000116211,0.00011091,-7.52213e-05,1,-3.47601e-05,-0.0749054,5.66614e-05,-0.095445,0.0354258,-0.0557407,0.372,0.306,0.31,0.226
8139,0,0,0,0.3,0,-5.04156e-07,1.99573,8.02835e-07,-0.000164721,0.00012841,-0.000103116,1,-3.20127e-05,-0.0690045,5.23443e-05,-0.0977474,0.0344851,-0.0556144,0.382,0.244,0.376,0.206
8140,0,0,0,0.3,0,-5.32523e-07,1.99567,8.49288e-07,-0.000213716,0.000145112,-0.000130662,1,-2.83669e-05,-0.0629909,4.64521e-05,-0.0981535,0.0325975,-0.0545705,0.254,0.364,0.252,0.33
8141,0,0,0,0.3,0,-5.56353e-07,1.99561,8.88247e-07,-0.000262738,0.000161159,-0.00015739,1,-2.38304e-05,-0.0568755,3.89596e-05,-0.0975893,0.0318272,-0.0523353,0.448,0.218,0.388,0.14
8142,0,0,0,0.3,0,-5.74784e-07,1.99556,9.18111e-07,-0.000310651,0.000176741,-0.000182599,1,-1.8431e-05,-0.0506666,2.98641e-05,-0.0941863,0.0304645,-0.0488048,0.248,0.336,0.28,0.328
8143,0,0,0,0.3,0,-5.87003e-07,1.99552,9.37316e-07,-0.00035664,0.000191615,-0.000205853,1,-1.22187e-05,-0.0443739,1.92045e-05,-0.0902074,0.0294401,-0.0445615,0.36,0.288,0.314,0.224
8144,0,0,0,0.3,0,-5.9226e-07,1.99548,9.44353e-07,-0.000400176,0.000206246,-0.000226643,1,-5.25754e-06,-0.0380034,7.0368e-06,-0.0842054,0.0289773,-0.0390883,0.34,0.248,0.36,0.234
8145,0,0,0,0.3,0,-5.89893e-07,1.99545,9.37802e-07,-0.000440214,0.000220374,-0.000244499,1,2.36776e-06,-0.0315631,-6.55018e-06,-0.0769309,0.0277598,-0.0330386,0.24,0.354,0.25,0.332
8146,0,0,0,0.3,0,-5.79332e-07,1.99542,9.16357e-07,-0.000476616,0.000234189,-0.000259193,1,1.05605e-05,-0.0250594,-2.14453e-05,-0.0693175,0.0276245,-0.0264232,0.414,0.21,0.388,0.162
8147,0,0,0,0.3,0,-5.60118e-07,1.99541,8.78832e-07,-0.000508659,0.000247777,-0.000270451,1,1.92141e-05,-0.0184979,-3.75253e-05,-0.0599418,0.0266607,-0.019522,0.206,0.348,0.26,0.36
8148,0,0,0,0.3,0,-5.31903e-07,1.99539,8.2419e-07,-0.000536148,0.00026087,-0.000278361,1,2.82154e-05,-0.0118852,-5.46415e-05,-0.0511841,0.0260498,-0.0129424,0.358,0.27,0.324,0.218
8149,0,0,0,0.3,0,-4.94448e-07,1.99539,7.51542e-07,-0.000559069,0.000273831,-0.000282955,1,3.74546e-05,-0.00522593,-7.26478e-05,-0.0414553,0.0256393,-0.00630216,0.28,0.274,0.33,0.282
8150,0,0,0,0.3,0,-4.47626e-07,1.99539,6.60158e-07,-0.000577074,0.000286288,-0.000284391,1,4.68219e-05,0.00147509,-9.13848e-05,-0.0320366,0.0244594,-0.000331284,0.238,0.346,0.25,0.33
8151,0,0,0,0.3,0,-3.91411e-07,1.9954,5.49463e-07,-0.000590698,0.000298434,-0.000282986,1,5.62153e-05,0.00821264,-0.000110695,-0.0233941,0.0241725,0.00521295,0.374,0.216,0.376,0.196
8152,0,0,0,0.3,0,-3.25869e-07,1.99541,4.19032e-07,-0.000599866,0.000310197,-0.000278968,1,6.55414e-05,0.0149828,-0.00013043,-0.0145916,0.022945,0.0100344,0.174,0.362,0.236,0.386
8153,0,0,0,0.3,0,-2.51152e-07,1.99543,2.68587e-07,-0.000605203,0.000321493,-0.000272868,1,7.47176e-05,0.0217808,-0.000150445,-0.00779403,0.0225768,0.0137679,0.364,0.244,0.342,0.206
8154,0,0,0,0.3,0,-1.67473e-07,1.99546,9.79672e-08,-0.000607222,0.000332737,-0.000265084,1,8.36792e-05,0.0286044,-0.00017062,-0.00109766,0.0222379,0.016791,0.226,0.304,0.292,0.332
8155,0,0,0,0.3,0,-7.50978e-08,1.9955,-9.28757e-08,-0.000606281,0.000343618,-0.000256166,1,9.23748e-05,0.03545,-0.000190843,0.00380441,0.02159,0.0184255,0.262,0.328,0.26,0.306
8156,0,0,0,0.3,0,2.56762e-08,1.99554,-3.03904e-07,-0.000603397,0.0003545,-0.000246726,1,0.000100774,0.0423153,-0.000211028,0.00734319,0.0218673,0.0190877,0.33,0.236,0.356,0.232
8157,0,0,0,0.3,0,1.34541e-07,1.99559,-5.35017e-07,-0.000598903,0.000365281,-0.000237281,1,0.000108865,0.0491977,-0.000231113,0.00990014,0.0213028,0.0184747,0.18,0.366,0.226,0.378
8158,0,0,0,0.3,0,2.51196e-07,1.99565,-7.86071e-07,-0.000593899,0.000375998,-0.000228512,1,0.000116655,0.0560955,-0.000251055,0.00993598,0.0217137,0.0166845,0.378,0.226,0.36,0.188
8159,0,0,0,0.3,0,3.7537e-07,1.99571,-1.05692e-06,-0.000589029,0.000386893,-0.000220843,1,0.000124174,0.0630075,-0.000270848,0.00946259,0.0216502,0.0140867,0.198,0.33,0.266,0.354
8160,0,0,0,0.3,0,5.06835e-07,1.99578,-1.34742e-06,-0.000584987,0.000397622,-0.000214832,1,0.000131464,0.0699322,-0.000290501,0.00664944,0.0215062,0.0102554,0.318,0.292,0.292,0.246
8161,0,0,0,0.3,0,6.45422e-07,1.99586,-1.65748e-06,-0.000582721,0.000408491,-0.000210916,1,0.000138588,0.0768682,-0.000310058,0.00295518,0.0217465,0.00583841,0.306,0.258,0.336,0.248
8162,0,0,0,0.3,0,7.91041e-07,1.99594,-1.98706e-06,-0.000582466,0.000419146,-0.000209451,1,0.000145619,0.0838143,-0.000329578,-0.00173002,0.0210041,0.000495201,0.23,0.352,0.238,0.326
8163,0,0,0,0.3,0,9.43686e-07,1.99603,-2.3362e-06,-0.000585063,0.000429667,-0.000210828,1,0.000152645,0.0907684,-0.000349139,-0.00783228,0.0211213,-0.00528023,0.394,0.218,0.37,0.166
8164,0,0,0,0.3,0,1.10345e-06,1.99613,-2.70504e-06,-0.000590555,0.00044006,-0.000215099,1,0.000159763,0.0977308,-0.00036884,-0.0135181,0.020361,-0.0111545,0.202,0.354,0.24,0.35
8165,0,0,0,0.3,0,1.27052e-06,1.99623,-3.09382e-06,-0.000599234,0.000450087,-0.000222385,1,0.000167071,0.1047,-0.000388778,-0.0204509,0.0200231,-0.0171859,0.38,0.256,0.328,0.182
8166,0,0,0,0.3,0,1.44519e-06,1.99634,-3.50288e-06,-0.000611233,0.000460085,-0.000232537,1,0.000174668,0.111675,-0.000409066,-0.0265667,0.0197613,-0.0226675,0.278,0.284,0.31,0.272
8167,0,0,0,0.3,0,1.62784e-06,1.99646,-3.93269e-06,-0.000626244,0.000469727,-0.000245367,1,0.000182648,0.118655,-0.000429806,-0.0329154,0.0190425,-0.027935,0.288,0.324,0.264,0.27
8168,0,0,0,0.3,0,1.81893e-06,1.99659,-4.38379e-06,-0.000644512,0.000479305,-0.000260628,1,0.000191098,0.12564,-0.000451104,-0.0390934,0.0191681,-0.0323651,0.38,0.228,0.362,0.174
8169,0,0,0,0.3,0,2.01903e-06,1.99672,-4.85685e-06,-0.00066544,0.000488661,-0.000277879,1,0.000200092,0.132629,-0.000473062,-0.0440501,0.0182496,-0.0361018,0.226,0.36,0.232,0.326
8170,0,0,0,0.3,0,2.22872e-06,1.99686,-5.35262e-06,-0.000688933,0.000497692,-0.000296843,1,0.000209692,0.13962,-0.000495765,-0.0491394,0.0180521,-0.0391504,0.418,0.226,0.358,0.142
8171,0,0,0,0.3,0,2.44867e-06,1.99701,-5.87191e-06,-0.000714456,0.000506611,-0.000316985,1,0.000219951,0.146615,-0.000519295,-0.052323,0.0174501,-0.0410065,0.244,0.318,0.276,0.304
8172,0,0,0,0.3,0,2.67957e-06,1.99716,-6.41562e-06,-0.000741442,0.00051512,-0.000337818,1,0.000230898,0.153612,-0.000543708,-0.0553207,0.0168815,-0.0419877,0.344,0.29,0.292,0.216
8173,0,0,0,0.3,0,2.92212e-06,1.99732,-6.98467e-06,-0.000769662,0.000523622,-0.000358746,0.999999,0.000242549,0.16061,-0.00056905,-0.0569679,0.0169441,-0.041517,0.338,0.244,0.346,0.212
8174,0,0,0,0.3,0,3.17701e-06,1.99749,-7.58002e-06,-0.000798253,0.000531867,-0.00037915,0.999999,0.000254897,0.16761,-0.00059535,-0.0574243,0.0161633,-0.0401322,0.246,0.344,0.246,0.308
8175,0,0,0,0.3,0,3.44493e-06,1.99766,-8.20264e-06,-0.000827058,0.000539986,-0.000398605,0.999999,0.000267919,0.174611,-0.000622618,-0.0575033,0.0163373,-0.0377266,0.406,0.21,0.376,0.152
