loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], baroAlt, gyroADC[0], gyroADC[1], gyroADC[2], gyroUnfilt[0], gyroUnfilt[1], gyroUnfilt[2], accSmooth[0], accSmooth[1], accSmooth[2], imuQuaternion[0], imuQuaternion[1], imuQuaternion[2], motor[0], motor[1], motor[2], motor[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 8126750,  -1,   9,   0,   0,   0,  -1,  -5,  25,   0,   0,   0,   0,   0,   0, 1391,   0,   0,   0, 391,   0,   1,  -4,  -1,   0,  -4,  -4,   0,   0, -474,  -1,  -1,  -2, 1451, 1385, 1438, 1375, 0, 0, IDLE, 0, 0
  1, 8126875,  -1,   9,   0,   0,   0,  -1,  -5,  26,   0,   0,   0,   0,   0,   0, 1391,   0,   0,   0, 391,   0,   0,  -4,  -1,  -1,  -4,  -4,   0,   0, -474,  -1,  -1,  -2, 1452, 1383, 1440, 1374, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  2, 8127000,   0,   9,   0,   0,   0,  -1,  -5,  27,   0,   0,   0,   0,   0,   0, 1391,   0,   0,   0, 391,   0,   0,  -4,  -2,  -1,  -2,  -4,   0,   0, -474,  -1,  -1,  -2, 1452, 1382, 1442, 1374, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  3, 8127125,   0,   8,   0,   0,   0,  -1,  -4,  27,   0,   0,   0,   0,   0,   0, 1391,   0,   0,   0, 391,   0,   0,  -4,  -2,  -2,  -1,  -5,   0,   0, -474,  -1,  -1,  -2, 1450, 1381, 1443, 1375, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  4, 8127250,   1,   7,   1,   0,   0,   0,  -3,  27,   0,   0,   0,   0,   0,   0, 1391,   0,   0,   0, 391,   0,   0,  -3,  -3,  -2,   1,  -5,   0,   0, -474,  -1,  -1,  -2, 1447, 1382, 1443, 1378, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  5, 8127375,   1,   6,   1,   0,   0,   0,  -2,  25,   0,   0,   0,   0,   0,   0, 1391,   0,   0,   0, 391,   0,   0,  -3,  -3,  -2,   3,  -5,   0,   0, -474,  -1,  -1,  -2, 1442, 1384, 1442, 1382, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  6, 8127500,   2,   4,   1,   0,   0,   0,  -1,  23,   0,   0,   0,   0,   0,   0, 1391,   0,   0,   0, 391,   0,  -1,  -2,  -3,  -2,   4,  -4,   0,   0, -466,  -1,  -1,  -2, 1436, 1386, 1439, 1387, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  7, 8127625,   2,   2,   1,   0,   0,   0,   0,  19,   0,   0,   0,   0,   0,   0, 1391,   0,   0,   0, 391,   0,  -1,  -1,  -4,  -2,   5,  -4,   0,   0, -466,  -1,  -1,  -2, 1430, 1390, 1436, 1393, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  8, 8127750,   2,   0,   2,   0,   0,   0,   1,  15,   0,   0,   0,   0,   0,   0, 1391,   0,   0,   0, 391,   0,  -1,   0,  -4,  -2,   5,  -3,   0,   0, -466,  -1,  -1,  -2, 1422, 1395, 1432, 1400, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  9, 8127875,   3,  -2,   2,   0,   0,   0,   2,  11,   0,   0,   0,   0,   0,   0, 1391,   0,   0,   0, 391,   0,  -1,   1,  -3,  -1,   6,  -2,   0,   0, -466,  -1,  -1,  -2, 1415, 1400, 1427, 1407, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
 10, 8128000,   3,  -3,   2,   0,   0,   0,   3,   6,   0,   0,   0,   0,   0,   0, 1391,   0,   0,   0, 391,   0,  -1,   1,  -3,  -1,   5,  -2,   0,   0, -466,  -1,  -1,  -2, 1407, 1405, 1423, 1414, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
